Designator,Footprint,Quantity,Value,LCSC Part #
C2,C_0402_1005Metric,1,.1u,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Male,
SW1,SW_SPST_EVQQ2,1,RESET,
C4,C_0402_1005Metric,1,.1u,
R2,R_0402_1005Metric,1,10k,C25744
D1,LED_0603_1608Metric,1,LED,C72041
C3,C_0603_1608Metric,1,10u,
SW2,SW_SPST_EVQQ2,1,BOOT,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
C1,C_0402_1005Metric,1,.1u,
R3,R_0402_1005Metric,1,1k,C11702
R1,R_0402_1005Metric,1,10k,C25744
J1,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Top_Bottom,
